ip,anonymityLevel,asn,country,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,isp,responseTime
"47.254.90.85","elite","AS45102","US","146","Alibaba Cloud - US","40392","socks4","1","90","8734","9665","2025-05-22T04:25:13.463Z","Alibaba Cloud LLC","1280"
"45.12.132.30","elite","AS44477","HU","17","Stark Industries Solutions LTD","50891","socks4","1","54","405","757","2025-05-22T04:25:13.561Z","Stark Industries Solutions LTD","4613"
"195.239.115.106","elite","AS3216","RU","33","N/A","44413","socks4","1","100","1112","1113","2025-05-22T04:25:13.464Z","EDN Sovintel","4283"
"110.34.166.183","elite","AS35908","SG","154","N/A","4153","socks4","1","99","9767","9827","2025-05-22T04:25:13.529Z","Krypt Technologies","2996"
"147.161.160.252","elite","AS62044","AE","115","Zscaler, Inc.","3128","socks4","1","100","119","119","2025-05-22T04:25:13.465Z","Zscaler DXB1","2973"
"178.254.18.11","elite","AS42730","DE","7","1blu AG","57335","socks5","1","97","9584","9841","2025-05-22T04:25:11.140Z","BLU-VH","992"
"103.122.141.118","elite","AS63737","VN","208","Gnetwork Company Limited","51934","socks4","1","50","1082","2143","2025-05-22T04:25:11.039Z","GNETWORK","5096"
"104.25.115.125","elite","AS13335","CA","4","Cloudflare, Inc.","80","socks4","1","100","9795","9799","2025-05-22T04:25:11.036Z","Cloudflare, Inc.","4785"
"110.34.166.179","elite","AS35908","SG","154","N/A","4153","socks4","1","99","9726","9794","2025-05-22T04:25:11.038Z","Krypt Technologies","3107"
"187.193.48.9","elite","AS8151","MX","176","UNINET","8080","socks4","1","44","4325","9811","2025-05-22T04:25:10.845Z","Uninet S.A. de C.V.","3595"
"47.101.45.227","elite","AS37963","CN","227","Aliyun Computing Co., LTD","80","socks4","1","98","741","759","2025-05-22T04:25:10.840Z","Addresses CNNIC","3890"
"118.67.216.94","elite","AS58923","BD","188","InterCloud ltd","4145","socks4","1","97","9480","9767","2025-05-22T04:25:10.862Z","InterCloud Limited","4282"
"115.85.86.114","elite","AS23953","ID","174","N/A","5678","socks4","1","97","2981","3082","2025-05-22T04:25:10.842Z","Sudirman Central Business District","4675"
"43.153.97.127","elite","AS132203","US","149","Tencent Cloud Computing","24067","socks4","1","91","8833","9727","2025-05-22T04:25:10.844Z","Shenzhen Tencent Computer Systems Company Limited","3699"
"101.200.187.233","elite","AS37963","CN","163","Aliyun Computing Co., LTD","8080","socks4","1","98","2548","2611","2025-05-22T04:25:10.837Z","Hangzhou Alibaba Advertising Co","4502"
"92.42.8.23","elite","AS44963","RU","68","JSC PP Potok","4153","socks4","1","98","3037","3087","2025-05-22T04:25:08.762Z","KMVtelecom","4486"
"103.93.177.97","elite","AS133647","IN","157","Zipcomp","5678","socks4","1","32","3169","9810","2025-05-22T04:25:08.940Z","Elxire Data Services Pvt. Ltd.","4604"
"178.45.163.186","elite","AS12389","RU","54","JSC VolgaTelecom Samara branch","7788","socks5","1","58","1675","2877","2025-05-22T04:25:08.760Z","PJSC Rostelecom","4586"
"119.2.48.12","transparent","AS55666","ID","186","N/A","9669","http","44319","100","31","31","2025-05-22T04:25:08.948Z","GMEDIA","4111"
"192.111.139.163","elite","AS46562","US","148","Total Server Solutions L.L.C.","19404","socks4","1","97","137","141","2025-05-22T04:25:08.931Z","Performive LLC","4971"
"156.228.110.98","elite","AS200373","US","94","3xK Tech GmbH","3128","socks4","1","100","736","737","2025-05-22T04:25:08.932Z","3xK Tech GmbH","2909"
"8.39.228.25","elite","AS399869","US","123","Level 3, LLC","39593","socks4","1","100","1145","1145","2025-05-22T04:25:08.759Z","Mountain Broadband","4405"
